product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
1001615414,"[뷰티모리]  크리스탈크림 오리지널, 모공줄이는법",제형,"되직해요,3-적당해요,46-묽어요,5",사이즈-용량-사용감-향기-트러블 개선-효과
4125461816,레인보우퍼퓸 헤어 & 바디미스트 5종 20대여자향수 섬유향수 퍼퓸미스트,수분감,"건조해요,7-보통이에요,168-촉촉해요,97",향기-만족도-케이스-휴대성
4125461816,레인보우퍼퓸 헤어 & 바디미스트 5종 20대여자향수 섬유향수 퍼퓸미스트,분사력,"별로예요,8-적당해요,137-아주 좋아요,127",향기-만족도-케이스-휴대성
4125461816,레인보우퍼퓸 헤어 & 바디미스트 5종 20대여자향수 섬유향수 퍼퓸미스트,향/냄새,"별로예요,20-향이 괜찮아요,119-마음에 들어요,141",향기-만족도-케이스-휴대성
4125470133,브라이트닝펄스톤 등드름 바디워시 천연 향수비누 140g,거품,"부족해요,0-적당해요,14-풍부해요,29",사용감-보습력-향기-거품
4125470133,브라이트닝펄스톤 등드름 바디워시 천연 향수비누 140g,세정력,"잘 안씻겨요,0-적당히 씻겨요,8-잘 씻겨요,35",사용감-보습력-향기-거품
4125470133,브라이트닝펄스톤 등드름 바디워시 천연 향수비누 140g,수분감,"건조해요,4-보통이에요,28-촉촉해요,11",사용감-보습력-향기-거품
4221959615,로망판다 티커젤 붙이는네일 네일스티커 페디스티커,편리성,"불편해요,0-보통이에요,2-쓰기 편해요,9",
4221959615,로망판다 티커젤 붙이는네일 네일스티커 페디스티커,가성비,"별로예요,0-괜찮아요,4-아주 좋아요,7",
4125467506,[믿쓰템] 로리앤첼 글로리어스 재생 수분크림&에센스 세트,수분감,"건조해요,0-보통이에요,20-촉촉해요,33",사용감-보습력-향기-트러블 개선-효과
4125467506,[믿쓰템] 로리앤첼 글로리어스 재생 수분크림&에센스 세트,트러블,"조금 있었어요,4-잘 모르겠어요,18-전혀 없었어요,32",사용감-보습력-향기-트러블 개선-효과
4125467506,[믿쓰템] 로리앤첼 글로리어스 재생 수분크림&에센스 세트,향/냄새,"별로예요,0-향이 괜찮아요,15-마음에 들어요,11",사용감-보습력-향기-트러블 개선-효과
4125469316,퍼브퍼퓹 향좋은 바디로션 200ml /등드름 개선,제형,"되직해요,1-적당해요,9-묽어요,1",향기-용량-효과
4125469316,퍼브퍼퓹 향좋은 바디로션 200ml /등드름 개선,수분감,"건조해요,0-보통이에요,5-촉촉해요,6",향기-용량-효과
4125469316,퍼브퍼퓹 향좋은 바디로션 200ml /등드름 개선,향/냄새,"별로예요,0-향이 괜찮아요,8-마음에 들어요,3",향기-용량-효과
4125465227,아비저모세트 천연비누 107g 여드름에 좋은 어성초비누,세정력,"잘 안씻겨요,0-적당히 씻겨요,21-잘 씻겨요,34",향기-사용감-효과
4125465227,아비저모세트 천연비누 107g 여드름에 좋은 어성초비누,거품,"부족해요,0-적당해요,23-풍부해요,32",향기-사용감-효과
4125465227,아비저모세트 천연비누 107g 여드름에 좋은 어성초비누,수분감,"건조해요,1-보통이에요,28-촉촉해요,26",향기-사용감-효과
4195774496,에스프로젝트 케라토닉 헤어트리트먼트 팩 극손상 단백질 케어 200ml,제형,"되직해요,1-적당해요,13-묽어요,0",
4195774496,에스프로젝트 케라토닉 헤어트리트먼트 팩 극손상 단백질 케어 200ml,머릿결개선,"잘 모르겠어요,4-만족해요,6-아주 좋아요,4",
4195774496,에스프로젝트 케라토닉 헤어트리트먼트 팩 극손상 단백질 케어 200ml,향/냄새,"별로예요,2-향이 괜찮아요,11-마음에 들어요,1",
4125465964,[믿쓰템] 로리앤첼 글로리어스 재생 수분크림 50ml,수분감,"건조해요,0-보통이에요,6-촉촉해요,22",트러블 개선-사용감-효과
